"Accepted Symbol","Synonym Symbol","Scientific Name","Common Name","PLANTS Floristic Area","Duration","Image Gallery","Fact Sheets","Plant Guides","Characteristics Data","Active Growth Period","Flower Color","Nitrogen Fixation","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Adapted to Fine Textured Soils","CaCO<SUB>3</SUB> Tolerance","Cold Stratification Required","Drought Tolerance","Fertility Requirement","Moisture Use","pH (Minimum)","pH (Maximum)","Precipitation (Minimum)","Precipitation (Maximum)"
"ULPU","","Ulmus pumila","Siberian elm","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_ulpu.pdf","../plantguide/pdf/cs_ulpu.pdf","Yes","Spring and Summer","Green","None","Yes","Yes","Yes","Low","Yes","High","Medium","Medium","5.5","8.0","16","50"
"UNPA","","Uniola paniculata","seaoats","NA (L48)","Perennial","Photo","../factsheet/pdf/fs_unpa.pdf","../plantguide/pdf/pg_unpa.pdf","Yes","Spring and Summer","","None","Yes","Yes","No","Medium","Yes","High","Medium","Low","6.0","7.5","35","65"
"VACO","","Vaccinium corymbosum","highbush blueberry","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_vaco.pdf","../plantguide/pdf/pg_vaco.pdf","Yes","Spring and Summer","White","None","Yes","Yes","Yes","Low","No","Low","Medium","Medium","4.7","7.5","32","50"
"VIAC","","Viburnum acerifolium","mapleleaf viburnum","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_viac.pdf","../plantguide/pdf/pg_viac.pdf","Yes","Spring and Summer","White","None","Yes","Yes","No","High","Yes","High","Low","Medium","4.8","7.5","32","50"
"VIDE","","Viburnum dentatum","southern arrowwood","NA (L48)","Perennial","Photo","../factsheet/pdf/fs_vide.pdf","../plantguide/pdf/pg_vide.pdf","No","","","","","","","","","","","","","","",""
"VIDED4","","Viburnum dentatum var. dentatum","southern arrowwood","NA (L48)","Perennial","","../factsheet/pdf/fs_vided4.pdf","../plantguide/pdf/pg_vided4.pdf","Yes","Spring","White","None","Yes","Yes","Yes","","No","Low","Medium","","4.5","7.3","32","100"
"VIDEV","","Viburnum dentatum var. venosum","southern arrowwood","NA (L48)","Perennial","","../factsheet/pdf/fs_videv.pdf","../plantguide/pdf/pg_videv.pdf","No","","","","","","","","","","","","","","",""
"VILE","","Viburnum lentago","nannyberry","NA (L48, CAN)","Perennial","Photo","../factsheet/pdf/fs_vile.pdf","../plantguide/pdf/pg_vile.pdf","Yes","Spring and Summer","White","None","No","Yes","Yes","Low","Yes","Low","Medium","Medium","5.0","7.0","38","60"
"VIOPA2","","Viburnum opulus var. americanum","American cranberrybush","NA (L48, CAN, SPM)","Perennial","Photo","../factsheet/pdf/fs_viopa2.pdf","../plantguide/pdf/cs_viopa2.pdf","Yes","Spring and Summer","White","None","Yes","Yes","Yes","Low","No","Medium","Medium","High","4.5","6.9","35","55"
"VIAM","","Vicia americana","American vetch","NA (L48, AK, CAN)","Perennial","Photo","../factsheet/pdf/fs_viam.pdf","../plantguide/pdf/pg_viam.pdf","Yes","Spring and Summer","Purple","Low","Yes","Yes","No","Low","No","High","High","Low","5.9","7.2","9","50"
